target,group,auc,auc_sd,n_measurements,n_windows,paired_frac,min_wilcoxon_p
1142,outlier,0.6427017482614777,0.0895865884717357,3,363,0.8558310376492194,4.4798572175998765e-60
34,control,0.518222371854221,,1,218,0.6467889908256881,3.0260075596838937e-05
936,outlier,0.5173280547962422,0.013686567525539485,3,206,0.6375404530744336,9.46978347664014e-16
1049,control,0.5169880624426079,,1,33,0.696969696969697,0.019370681373402476
549,control,0.5169094693028096,,1,124,0.6693548387096774,6.990901547395017e-07
1059,control,0.5163733570951214,,1,67,0.6119402985074627,0.010582942597374459
1209,control,0.5157215802203708,,1,61,0.6885245901639344,0.00023754616201071023
342,outlier,0.5151508678998106,0.00891050081397849,3,153,0.6296296296296297,2.825714839988935e-07
569,outlier,0.5151320155241409,0.004162755366290789,3,223,0.6038863976083707,2.4548448557591116e-07
218,control,0.515,,1,60,0.6333333333333333,0.06657864522895812
1183,outlier,0.5147222222222222,0.0567040998365339,3,60,0.5444444444444444,3.855955814267041e-05
790,control,0.5135475740390675,,1,69,0.5797101449275363,0.009469323058809015
755,outlier,0.5132642494248799,0.0029238994018534453,3,219,0.6255707762557078,2.8437377012064306e-09
960,control,0.5117355371900827,,1,110,0.5818181818181818,0.04556429519665263
902,control,0.5107421875,,1,32,0.5625,0.134952801046893
136,control,0.510498046875,,1,64,0.53125,0.20159486696682194
806,outlier,0.5102322718195876,0.002929643381029877,3,149,0.6129753914988815,9.341766603800913e-05
167,control,0.5089272753665264,,1,83,0.5301204819277109,0.14506162421234425
54,control,0.5075534119897959,,1,224,0.5714285714285714,0.002005115069399276
712,control,0.5074610726643599,,1,136,0.5955882352941176,0.0031006903449944468
414,control,0.5071501946366782,,1,272,0.5919117647058824,0.0023493082668086733
186,outlier,0.5069916855631141,0.0020357578823143223,3,84,0.5595238095238094,0.01745181748695755
973,outlier,0.5068686418653003,0.008430870996680242,3,67,0.5522388059701493,0.010937856307931124
329,outlier,0.5066869367880671,0.005389876690690249,3,123,0.5934959349593496,0.0016518676818058704
208,control,0.5065274766707513,,1,206,0.6504854368932039,2.1253402041558056e-05
592,control,0.5062809917355372,,1,220,0.6181818181818182,0.0014901654957480757
80,control,0.5057942308130137,,1,363,0.5785123966942148,0.0001369218321713187
668,control,0.5051853602184415,,1,276,0.5398550724637681,0.06611410726896493
135,control,0.5051132213294376,,1,222,0.545045045045045,0.025079952925756436
880,control,0.5049939986282579,,1,216,0.5694444444444444,0.01129318133163503
788,control,0.5045351473922902,,1,84,0.5595238095238095,0.10506693934916123
764,outlier,0.5039889004509192,0.0028058775038784867,3,62,0.5591397849462365,0.06540871711381492
481,outlier,0.5039393939393939,0.0012838766058105265,3,110,0.5606060606060606,0.09297572695095707
263,outlier,0.5036384047373058,0.0025151222848557794,3,273,0.5592185592185591,3.447994029787771e-05
1013,control,0.5035341524639979,,1,174,0.5287356321839081,0.0453807989327988
1052,control,0.5033856138453218,,1,215,0.5116279069767442,0.19410352949394222
433,control,0.502396694214876,,1,110,0.5363636363636364,0.11909946315630582
467,control,0.5021752066115702,,1,275,0.49454545454545457,0.4385922407687194
683,control,0.5021714285714286,,1,175,0.5428571428571428,0.05298077095870505
996,control,0.501866284451611,,1,183,0.5136612021857924,0.10950681391103068
387,control,0.5016436554898094,,1,78,0.5128205128205128,0.4064890934981055
1184,control,0.501447983960793,,1,134,0.48507462686567165,0.6267004521766826
680,control,0.5013777777777778,,1,150,0.54,0.06276744429209567
133,control,0.5013732651570489,,1,370,0.5459459459459459,0.026766571670588508
253,control,0.5013223140495868,,1,110,0.5909090909090909,0.13784964261934085
727,outlier,0.5011390149674493,0.003004446518572706,3,311,0.5005359056806001,0.035817281295898416
419,control,0.5011134235171696,,1,310,0.5612903225806452,0.11566331632044324
503,control,0.5010585108778883,,1,149,0.5033557046979866,0.3899203288163888
633,outlier,0.5009301193084977,0.002743160877619921,3,185,0.4954954954954955,0.08232019234532267
1031,control,0.5009105098855359,,1,124,0.5645161290322581,0.1880095226574296
1145,outlier,0.5000801153661273,0.003272004143031866,3,79,0.5021097046413502,0.3090724957947585
763,outlier,0.49990091161315897,0.0031179182587224956,3,174,0.5153256704980843,0.04566835684009323
282,control,0.4998849200751361,,1,367,0.49591280653950953,0.5072575968908596
274,control,0.49987350312025636,,1,154,0.538961038961039,0.34940564305663546
602,outlier,0.49985582468281436,0.007032150172005299,3,68,0.5343137254901961,0.086502912408854
695,control,0.499671137293031,,1,187,0.48663101604278075,0.5584606352248325
1177,control,0.4995069033530572,,1,78,0.5128205128205128,0.2105854534679189
83,control,0.4994108775567914,,1,206,0.47572815533980584,0.48068031162191965
844,control,0.49843621399176957,,1,135,0.4888888888888889,0.44324097369754684
363,control,0.4984129105549801,,1,173,0.4913294797687861,0.6756249532309125
805,outlier,0.4983630544124371,0.011279869115878478,3,135,0.47901234567901235,0.006950409027549017
984,control,0.4981139438085328,,1,124,0.5161290322580645,0.6157180201654124
831,control,0.49787915920444903,,1,206,0.441747572815534,0.9287863292272694
1163,outlier,0.4977454040929587,0.008971569307233824,3,31,0.5053763440860215,0.1635747980326414
543,control,0.4976627423822715,,1,152,0.45394736842105265,0.8502369739783919
246,control,0.4973544973544973,,1,63,0.4126984126984127,0.7510394269614455
37,control,0.4971175858480749,,1,310,0.4774193548387097,0.8841514885972792
464,control,0.49701350415512463,,1,152,0.48026315789473684,0.8240116905932071
346,control,0.4968498904309715,,1,148,0.44594594594594594,0.9141543438188052
1005,control,0.493125,,1,80,0.4875,0.6944158321514495
2304,control,0.492863321799308,,1,68,0.4264705882352941,0.9218465035616513
653,control,0.49278876170655567,,1,310,0.44516129032258067,0.9992698795179032
621,control,0.4920999712726228,,1,59,0.423728813559322,0.9002812714094276
1039,control,0.49204081632653063,,1,70,0.4142857142857143,0.9103763027237698
462,control,0.49161153119092627,,1,184,0.3695652173913043,0.999983448892047
792,control,0.4911111111111111,,1,30,0.36666666666666664,0.9045352395623922
237,control,0.4898356401384083,,1,68,0.4411764705882353,0.832836724255166
404,control,0.48803329864724243,,1,62,0.3870967741935484,0.943857741243969
1078,control,0.48775510204081635,,1,70,0.34285714285714286,0.9996942401247234
689,control,0.48069204152249134,,1,85,0.36470588235294116,0.986468204814769
