target,group,auc,auc_sd,n_measurements,n_windows,paired_frac,min_wilcoxon_p
Loop/633,outlier,1.0,,1,5,1.0,0.03125
Loop/342,outlier,0.92,,1,5,1.0,0.03125
Loop/1142,outlier,0.8506944444444444,,1,24,1.0,5.960464477539063e-08
Loop/1120,outlier,0.625,,1,4,0.75,0.125
Loop/467,outlier,0.6198347107438017,,1,11,0.8181818181818182,0.01611328125
DCLP3/134,control,0.6173469387755102,,1,14,0.7142857142857143,0.0147705078125
DCLP5/52,outlier,0.6049382716049383,,1,9,0.5555555555555556,0.28515625
DCLP3/68,control,0.6,,1,5,0.8,0.15625
DCLP3/135,control,0.6,,1,5,0.8,0.3125
Loop/1153,outlier,0.5789473684210527,,1,19,0.8947368421052632,8.20159912109375e-05
DCLP3/102,control,0.5679012345679012,,1,9,0.6666666666666666,0.125
DCLP5/81,outlier,0.5625,,1,4,0.75,0.4375
DCLP3/171,control,0.56,,1,5,0.8,0.15625
Loop/1116,control,0.5457063711911357,,1,19,0.7894736842105263,0.00308990478515625
Loop/727,outlier,0.5351239669421488,,1,22,0.7272727272727273,0.0029642581939697266
DCLP3/111,control,0.52,,1,10,0.6,0.2783203125
Loop/100,outlier,0.52,,1,5,0.4,0.5
Loop/1071,control,0.5103305785123967,,1,22,0.4090909090909091,0.7969834804534912
Loop/317,control,0.5086805555555556,,1,24,0.625,0.15144962072372437
Loop/968,outlier,0.48,,1,5,0.4,0.6875
DCLP3/10,control,0.47107438016528924,,1,11,0.2727272727272727,0.83984375
DCLP3/91,outlier,0.47,,1,10,0.4,0.6875
Loop/19,outlier,0.44387755102040816,,1,14,0.21428571428571427,0.96075439453125
DCLP3/144,control,0.4375,,1,4,0.5,0.8125
DCLP3/43,control,0.4,,1,5,0.2,0.9375
DCLP3/114,control,0.25,,1,4,0.0,1.0
