target,group,auc,auc_sd,n_measurements,n_windows,paired_frac,min_wilcoxon_p
Loop/633,outlier,1.0,,1,5,1.0,0.03125
DCLP3/91,outlier,0.78,,1,10,0.8,0.0068359375
DCLP5/52,outlier,0.7654320987654321,,1,9,0.8888888888888888,0.005859375
DCLP5/81,outlier,0.75,,1,4,0.75,0.1875
Loop/100,outlier,0.72,,1,5,1.0,0.03125
Loop/19,outlier,0.7040816326530612,,1,14,0.7857142857142857,0.00335693359375
DCLP3/171,control,0.68,,1,5,1.0,0.03125
Loop/317,control,0.6423611111111112,,1,24,0.6666666666666666,0.007522463798522949
DCLP3/114,control,0.625,,1,4,0.75,0.125
Loop/342,outlier,0.6,,1,5,0.8,0.0625
DCLP3/43,control,0.6,,1,5,0.8,0.0625
Loop/727,outlier,0.5950413223140496,,1,22,0.7272727272727273,0.00040459632873535156
Loop/1071,control,0.5867768595041323,,1,22,0.7272727272727273,0.005162239074707031
Loop/1120,outlier,0.5625,,1,4,0.75,0.1875
Loop/968,outlier,0.56,,1,5,0.8,0.15625
DCLP3/111,control,0.54,,1,10,0.6,0.0419921875
Loop/467,outlier,0.5206611570247934,,1,11,0.7272727272727273,0.259765625
DCLP3/68,control,0.52,,1,5,0.6,0.15625
Loop/1116,control,0.5124653739612188,,1,19,0.5263157894736842,0.3112812042236328
Loop/1153,outlier,0.5041551246537396,,1,19,0.47368421052631576,0.28388023376464844
Loop/1142,outlier,0.5034722222222222,,1,24,0.5833333333333334,0.527946412563324
DCLP3/144,control,0.5,,1,4,0.5,0.5625
DCLP3/102,control,0.49382716049382713,,1,9,0.3333333333333333,0.71484375
DCLP3/134,control,0.4846938775510204,,1,14,0.2857142857142857,0.8662109375
DCLP3/10,control,0.4628099173553719,,1,11,0.18181818181818182,0.8798828125
DCLP3/135,control,0.44,,1,5,0.2,0.90625
