target,group,auc,auc_sd,n_measurements,n_windows,paired_frac,min_wilcoxon_p
Loop/1142,outlier,0.9409722222222222,,1,24,0.9166666666666666,2.980232238769531e-07
Loop/342,outlier,0.72,,1,5,0.6,0.15625
Loop/1153,outlier,0.628808864265928,,1,19,0.7368421052631579,0.012910842895507812
Loop/100,outlier,0.6,,1,5,1.0,0.03125
Loop/633,outlier,0.6,,1,5,0.8,0.09375
DCLP3/91,outlier,0.59,,1,10,0.6,0.0966796875
DCLP3/114,control,0.5625,,1,4,0.5,0.6875
DCLP3/144,control,0.5625,,1,4,0.5,0.5625
DCLP5/81,outlier,0.5625,,1,4,0.75,0.125
DCLP3/135,control,0.56,,1,5,0.6,0.6875
DCLP3/10,control,0.5454545454545454,,1,11,0.5454545454545454,0.41552734375
Loop/19,outlier,0.5357142857142857,,1,14,0.5714285714285714,0.54840087890625
Loop/727,outlier,0.5206611570247934,,1,22,0.5909090909090909,0.47463488578796387
DCLP3/171,control,0.52,,1,5,0.6,0.5
Loop/1071,control,0.512396694214876,,1,22,0.5,0.5881357192993164
Loop/317,control,0.5069444444444444,,1,24,0.5416666666666666,0.22793716192245483
Loop/1116,control,0.49584487534626037,,1,19,0.47368421052631576,0.6746253967285156
DCLP3/102,control,0.49382716049382713,,1,9,0.6666666666666666,0.326171875
DCLP5/52,outlier,0.48148148148148145,,1,9,0.5555555555555556,0.673828125
DCLP3/68,control,0.48,,1,5,0.6,0.5
DCLP3/111,control,0.48,,1,10,0.4,0.919921875
DCLP3/134,control,0.4642857142857143,,1,14,0.42857142857142855,0.642578125
Loop/467,outlier,0.4628099173553719,,1,11,0.5454545454545454,0.55078125
Loop/968,outlier,0.4,,1,5,0.2,0.84375
Loop/1120,outlier,0.375,,1,4,0.25,0.6875
DCLP3/43,control,0.32,,1,5,0.0,1.0
