target,group,auc,auc_sd,n_measurements,n_windows,paired_frac,min_wilcoxon_p
Loop/633,outlier,0.8,,1,5,1.0,0.03125
Loop/100,outlier,0.76,,1,5,1.0,0.03125
DCLP5/52,outlier,0.7530864197530864,,1,9,1.0,0.001953125
DCLP3/91,outlier,0.75,,1,10,0.9,0.001953125
Loop/1142,outlier,0.7361111111111112,,1,24,0.9166666666666666,1.1324882507324219e-06
Loop/19,outlier,0.6275510204081632,,1,14,0.7857142857142857,0.0008544921875
DCLP5/81,outlier,0.625,,1,4,0.75,0.3125
Loop/467,outlier,0.5702479338842975,,1,11,0.9090909090909091,0.0009765625
DCLP3/114,control,0.5625,,1,4,0.75,0.125
DCLP3/144,control,0.5625,,1,4,0.75,0.1875
Loop/1120,outlier,0.5625,,1,4,0.75,0.3125
Loop/1153,outlier,0.5512465373961218,,1,19,0.7368421052631579,0.001010894775390625
DCLP3/10,control,0.5454545454545454,,1,11,0.7272727272727273,0.05078125
Loop/727,outlier,0.5330578512396694,,1,22,0.8636363636363636,0.003324747085571289
Loop/317,control,0.5225694444444444,,1,24,0.5833333333333334,0.10380828380584717
DCLP3/68,control,0.52,,1,5,0.6,0.3125
DCLP3/43,control,0.52,,1,5,0.6,0.3125
DCLP3/171,control,0.52,,1,5,0.6,0.5
DCLP3/135,control,0.52,,1,5,0.6,0.5
DCLP3/111,control,0.52,,1,10,0.7,0.1376953125
DCLP3/102,control,0.5185185185185185,,1,9,0.6666666666666666,0.212890625
Loop/1116,control,0.5096952908587258,,1,19,0.5789473684210527,0.17622947692871094
Loop/1071,control,0.506198347107438,,1,22,0.5454545454545454,0.1110537052154541
DCLP3/134,control,0.4897959183673469,,1,14,0.42857142857142855,0.25079345703125
Loop/342,outlier,0.48,,1,5,0.6,0.3125
Loop/968,outlier,0.48,,1,5,0.4,0.40625
