target,group,auc,auc_sd,n_measurements,n_windows,paired_frac,min_wilcoxon_p
Loop/263,outlier,0.5131293402777778,,1,96,0.6041666666666666,0.0005649868010461084
DCLP5/89,outlier,0.5102880658436214,,1,54,0.5925925925925926,0.11652964862962023
Loop/1142,outlier,0.508381586766352,,1,269,0.6951672862453532,4.908894671838986e-16
DCLP3/91,outlier,0.5081639273356401,,1,136,0.5882352941176471,0.035872563098285876
Loop/173,control,0.50732421875,,1,192,0.5885416666666666,0.006312682715853564
Loop/569,outlier,0.5063555555555556,,1,150,0.56,0.003438702009640938
DCLP3/67,control,0.5057360222195387,,1,91,0.6043956043956044,0.01445307506317021
Loop/206,outlier,0.5054107605547935,,1,81,0.6049382716049383,0.04137026246661605
Loop/246,outlier,0.5044444444444445,,1,30,0.43333333333333335,0.7219433626160026
DCLP3/157,control,0.5037624294544477,,1,122,0.5655737704918032,0.038419055183743084
Loop/26,outlier,0.5018507502148192,,1,246,0.42276422764227645,0.9719122702282211
Loop/329,outlier,0.5006279331085994,,1,123,0.43902439024390244,0.7874463734299422
Loop/395,outlier,0.5,,1,64,0.453125,0.5531999041597816
Flair/116,control,0.49931129476584024,,1,66,0.4696969696969697,0.4732610565521236
DCLP5/37,control,0.49912374922268077,,1,133,0.48872180451127817,0.5326654430932891
DCLP3/138,outlier,0.4981137769729893,,1,141,0.5460992907801419,0.422091799114755
Loop/160,control,0.49763755525072395,,1,81,0.41975308641975306,0.7970164654336936
DCLP3/14,control,0.49756048488506616,,1,141,0.5531914893617021,0.2742779842622569
DCLP3/105,control,0.4970120360239037,,1,109,0.5045871559633027,0.769183706137595
Flair/61,control,0.4963579604578564,,1,31,0.45161290322580644,0.8505213898606598
Loop/503,control,0.4960136930768884,,1,149,0.42953020134228187,0.9151233920105859
Loop/185,control,0.49495836937716264,,1,272,0.44485294117647056,0.9774528993224146
Loop/1183,outlier,0.4936087990487515,,1,58,0.5,0.680255024988605
DCLP5/50,control,0.4930914256198347,,1,176,0.42613636363636365,0.9866030175103186
Loop/1061,outlier,0.49305785123966944,,1,110,0.5,0.6109621313174048
DCLP3/13,control,0.4919982698961938,,1,136,0.4411764705882353,0.9639558340488619
Loop/1169,control,0.49197384066587396,,1,58,0.3275862068965517,0.9942622664250889
Flair/62,control,0.49163403346386614,,1,53,0.41509433962264153,0.8995909925297478
Flair/55,control,0.4912109375,,1,96,0.4270833333333333,0.8451611158403483
DCLP5/86,control,0.4834971025447216,,1,63,0.30158730158730157,0.999440470068207
Loop/1137,control,0.4805999731255039,,1,244,0.26639344262295084,0.9999999999999832
