target,group,auc,auc_sd,n_measurements,n_windows,paired_frac,min_wilcoxon_p
Loop/1142,outlier,1.0,,1,34,1.0,5.820766091346741e-11
Loop/467,outlier,0.743801652892562,,1,11,1.0,0.00048828125
Loop/1153,outlier,0.701530612244898,,1,28,1.0,3.725290298461914e-09
DCLP3/91,outlier,0.61,,1,10,1.0,0.0009765625
DCLP5/52,outlier,0.6049382716049383,,1,9,0.7777777777777778,0.013671875
Loop/727,outlier,0.5826446280991735,,1,22,1.0,2.384185791015625e-07
Loop/263,outlier,0.5306122448979592,,1,7,0.5714285714285714,0.109375
Loop/256,outlier,0.5277777777777778,,1,12,0.6666666666666666,0.054931640625
Loop/1071,control,0.5206611570247934,,1,22,0.7727272727272727,0.003324747085571289
BrisT1D/P10,control,0.52,,1,5,0.6,0.15625
Loop/19,outlier,0.5022222222222222,,1,15,0.5333333333333333,0.1795654296875
Loop/435,control,0.5,,1,28,0.42857142857142855,0.7010389491915703
DCLP3/22,control,0.49333333333333335,,1,15,0.6,0.737762451171875
Loop/100,outlier,0.48,,1,5,0.4,0.6875
BrisT1D/P07,control,0.4791666666666667,,1,12,0.25,0.96142578125
BrisT1D/P15,control,0.47107438016528924,,1,11,0.2727272727272727,0.9951171875
Loop/1067,control,0.4463667820069204,,1,34,0.08823529411764706,0.9999999980791472
BrisT1D/P04,control,0.43,,1,10,0.0,1.0
DCLP3/118,control,0.3877551020408163,,1,7,0.0,1.0
BrisT1D/P03,control,0.345679012345679,,1,9,0.0,1.0
